Time,Speed(MPH),Location,County,State,LAT,LON,Remarks,,
12,UNK,RAINELLE,GREENBRIER,WV,37.97,-80.78,MULTIPLE TREES DOWN ON HOUSES IN RAINELLE...LOCAL FIRE DEPARTMENT ON THE SCENE (RNK),,
15,UNK,ELIZABETH,WIRT,WV,39.06,-81.4,TREES AND POWERLINES DOWN ACROSS THE COUNTY...STRUCTURAL DAMAGE TO HOUSES. (RLX),,
15,UNK,ROWLESBURG,PRESTON,WV,39.35,-79.67,TREES DOWN WITH SOME FALLING ON STRUCTURES ACROSS AREAS IN THE COUNTY SOUTH OF KINGWOOD. (PBZ),,
16,UNK,BECKLEY,RALEIGH,WV,37.82,-81.24,TREES DOWN. EVENT OCCURRED BETWEEN 800 PM (RLX),,
16,UNK,3 SE RENICK,GREENBRIER,WV,37.96,-80.33,STRUCTURAL DAMAGE TO SPOTTERS HOUSE...AND MULTIPLE 85-FOOT HIGH WHITE BIRCH TREES DOWN (RNK),,
17,UNK,UNIONTOWN,FAYETTE,PA,39.9,-79.72,POWER LINES DOWN. NUMEROUS TREES DOWN (PBZ),,
18,UNK,UNION,MONROE,WV,37.58,-80.53,IN MONROE CONTY...HUNDREDS OF TREES BLOWN DOWN...POWER LINES BLOWN DOWN. WORST DAMAGE OCCURRED NORTH AND WEST OF UNION. SEVERAL VEHICLES WERE DAMAGED BY FALLING TREES. (RNK),,
20,UNK,ALDERSON,GREENBRIER,WV,37.73,-80.65,DAMAGE TO A TIN ROOF,TREE BRANCHES 4 TO 6 INCHES IN DIAMETER DOWN IN ALDERSON. (RNK),
20,UNK,ALDERSON,GREENBRIER,WV,37.73,-80.65,MULTIPLE TREES DOWN. (RNK),,
21,UNK,WALTERSBURG,FAYETTE,PA,39.98,-79.76,NUMEROUS TREES DOWN COUNTY WIDE (PBZ),,
21,UNK,WALTERSBURG,FAYETTE,PA,39.98,-79.76,NUMEROUS TREES DOWN (PBZ),,
22,UNK,HOT SPRINGS,BATH,VA,38,-79.83,HUNDREDS OF TREES AND POWER LINES BLOWN DOWN ACROSS BATH COUNTY. ONE TREE FELL ON A HOME AND A FEW TREES FELL ON CARS CAUSING DAMAGE. ONE PERSON HAD DEBRIS BLOWN IN THE (RNK),,
25,UNK,COVINGTON CITY,CITY OF COVINGTON,VA,37.78,-79.98,NUMEROUS TREES AND POWER LINES WERE BLOWN DOWN. A CHURCH ROOF WAS SEVERELY DAMAGED BY THUNDERSTORM WINDS. A PORTION OF THE HIGH SCHOOL ROOF AND A ROOF AT A LOCAL HOTEL (RNK),,
25,UNK,GATZMER,TUCKER,WV,39.19,-79.38,NUMEROUS TREES DOWN COUNTY WIDE (PBZ),,
25,UNK,GREENSBURG,WESTMORELAND,PA,40.31,-79.54,TREES DOWN ON MT. VIEW INTERSECTION OFF OF RT 3 (PBZ),,
25,UNK,WNW ATHENS,MERCER,WV,37.42,-81.02,TREE DOWN ON POWER LINE ON W. VERMILLION STREET (RNK),,
25,UNK,1 S ATHENS,MERCER,WV,37.41,-81.01,TREE DOWN ON HOUSE AT BLAZER PLACE AND SOUTH STATE STREET. (RNK),,
25,UNK,4 S CAMP CREEK,MERCER,WV,37.43,-81.11,3 TREES WERE BLOWN DOWN CROSSING GARDNER ROAD. (RNK),,
26,UNK,NW ATHENS,MERCER,WV,37.43,-81.02,TREES DOWN ON WEST BROADWAY STREET AND EAST BROADWAY STREET. (RNK),,
26,UNK,5 SSE CAMP CREEK,MERCER,WV,37.42,-81.05,TREES DOWN AT MERCER SPRINGS ROAD AND OLD SPRINGS ROAD. (RNK),,
26,UNK,5 SSE CAMP CREEK,MERCER,WV,37.42,-81.06,TREES DOWN AT EADS MILL ROAD AT MERCER SPRINGS ROAD. (RNK),,
27,60,5 SE GARDEN PLAIN,WHITESIDE,IL,41.75,-90.06,(DVN),,
27,UNK,3 NE PRINCETON,MERCER,WV,37.39,-81.06,TREES DOWN ON EADS MILL ROAD AND OLD ATHENS ROAD. (RNK),,
30,UNK,MCHENRY,GARRETT,MD,39.56,-79.35,NUMEROUS TREES DOWN COUNTY WIDE (PBZ),,
30,UNK,1 E GRUNDY,BUCHANAN,VA,37.28,-82.09,MANY TREES DOWN THROUGHOUT BUCHANAN COUNTY WITH POWER OUTAGES REPORTED (RLX),,
34,UNK,OHIOPYLE,FAYETTE,PA,39.87,-79.49,NUMEROUS TREES DOWN (PBZ),,
34,UNK,1 NE BOISSEVAIN,TAZEWELL,VA,37.29,-81.37,TREES DOWN ON BOISSEVAIN ROAD (RNK),,
35,58,5 NNE LEWISBURG,GREENBRIER,WV,37.86,-80.4,WIND GUST MEASURED AT THE GREENBRIER VALLEY AIRPORT (RNK),,
35,UNK,CLINTWOOD,DICKENSON,VA,37.15,-82.46,SEVERAL TREES DOWN AROUND THE COUNTY (RLX),,
35,UNK,COVINGTON CITY,CITY OF COVINGTON,VA,37.78,-79.98,NUMEROUS TREES WERE REPORTED BLOWN DOWN ACROSS THE CITY. SOME TREES WERE BLOWN DOWN INTO HOMES AND OVER CARS. A CHURCH WAS BADLY DAMAGED. (RNK),,
35,UNK,MONTEREY,HIGHLAND,VA,38.41,-79.58,MULTIPLE REPORTS OF TREES AND POWERL LINES DOWN ACROSS THE COUNTY (LWX),,
35,UNK,PRINCETON,MERCER,WV,37.37,-81.1,LARGE ELM TREE DOWN ON UNION DRIVE. (RNK),,
35,UNK,1 SW MILL GAP,HIGHLAND,VA,38.31,-79.72,LARGE APPLE TREE DOWN (LWX),,
35,UNK,4 NNE PIPESTEM,SUMMERS,WV,37.58,-80.94,SEVERAL LARGE TREES AND POWER LINES DOWN. RT 18 IS BLOCKED. (RNK),,
36,60,FRANKLIN,PENDLETON,WV,38.64,-79.33,(LWX),,
36,70,2 NE KLINE GAP,GRANT,WV,39.09,-79.17,FOUR TREES DOWN. (LWX),,
37,UNK,NEW CASTLE,CRAIG,VA,37.5,-80.12,IN CRAIG COUNTY HUNDREDS OF TREES WERE BLOWN DOWN...POWER LINES DOWN. A FEW BARNS WERE DAMAGED...A PORCH WAS DESTROYED BY THUNDERSTORM WINDS ON ROUTE 42. SEVERAL VEHICL (RNK),,
38,UNK,BITTINGER,GARRETT,MD,39.6,-79.22,NUMEROUS TREES DOWN COUNTY WIDE (PBZ),,
38,UNK,3 WNW BLUEFIELD,TAZEWELL,VA,37.26,-81.32,TREES DOWN ON LOOP ROAD (RNK),,
39,80,1 W FRANKLIN,PENDLETON,WV,38.64,-79.35,TREES DOWN THROUGHOUT PENDLETON COUNTY (LWX),,
39,UNK,MONTEREY,HIGHLAND,VA,38.41,-79.58,TREES DOWN COUNTYWIDE (LWX),,
39,UNK,1 N GARRETT PARK,MONTGOMERY,MD,39.05,-77.1,ELECTRICAL WIRES DOWN ON ROCKINGHORSE ROAD BETWEEN BROILING BROOK PARKWAY AND RANDOLPH ROAD. (LWX),,
39,UNK,1 SE SEYMOURVILLE,GRANT,WV,39.05,-79.1,ELECTRICAL WIRES DOWN ON ROCKINGHORSE ROAD BETWEEN BROILING BROOK PARKWAY AND RANDOLPH ROAD. (LWX),,
40,UNK,1 W FRANKLIN,PENDLETON,WV,38.64,-79.35,NUMEROUS TREES DOWN IN AND AROUND FRANKLIN. (LWX),,
40,UNK,4 SSW CHAPEL,GILES,VA,37.23,-80.96,SEVERAL TREES WERE REPORTED DOWN. (RNK),,
41,UNK,6 N TAZEWELL,TAZEWELL,VA,37.2,-81.53,TREES DOWN ON STONEY RIDGE ROAD AT HORSEPEN ROAD (RNK),,
42,UNK,FINCASTLE,BOTETOURT,VA,37.5,-79.88,*** 12 INJ *** HUNDREDS OF TREES BLOWN DOWN COUNTYWIDE. POWER LINES ALSO BLOWN DOWN. LESS THAN 20 STRUCTURES WERE DAMAGED...MAINLY FROM WINDS BLOWING OFF ROOFING. TREES (RNK),,
42,UNK,1 ESE AMONATE,TAZEWELL,VA,37.18,-81.63,TREES DOWN ON DRY FORK ROAD (RNK),,
42,UNK,2 ENE PEARISBURG,GILES,VA,37.33,-80.71,MULTIPLE LARGE TREES WERE BLOWN DOWN PARTIALLY BLOCKING HWY 460. (RNK),,
42,UNK,5 E NARROWS,GILES,VA,37.33,-80.73,A LARGE TREE WAS BLOWN DOWN ALONG CURVE ROAD. (RNK),,
43,UNK,5 WSW MOUNTAIN LAKE,GILES,VA,37.31,-80.63,THE ROOF OF A HOME WAS BADLY DAMAGED BY STRONG WINDS ON MUANEY ROAD. (RNK),,
44,UNK,PETERSBURG,GRANT,WV,39,-79.13,NUMEROUS TREES DOWN ACROSS THE COUNTY (LWX),,
44,UNK,1 NW BANDY,TAZEWELL,VA,37.17,-81.73,TREES DOWN ON PANTHER BRANCH ROAD (RNK),,
44,UNK,4 SW MOUNTAIN LAKE,GILES,VA,37.3,-80.6,A TREE WAS BLOWN DOWN ONTO A TRAILER ON LIBERTY LANE. (RNK),,
45,60,MILLEDGEVILLE,CARROLL,IL,41.96,-89.78,HEAVY RAIN REPORTED AS WELL. (DVN),,
45,UNK,ALLEGHANY,ALLEGHANY,VA,37.75,-80.25,TREE FELL ON HOUSE. (RNK),,
45,UNK,BLAND,BLAND,VA,37.1,-81.12,NUMEROUS TREES DOWN AND POWER OUTAGES ACROSS THE COUNTY...STARTING AT 845 PM AND LASTING UNTIL ABOUT 915 PM. ROOF DAMAGE TO ONE BARN...OTHERWISE NO KNOWN SIGNIFICANT ST (RNK),,
45,UNK,3 NE CLIFFIELD,TAZEWELL,VA,37.13,-81.63,TREES DOWN ON JUMPS ROAD (RNK),,
45,UNK,5 WNW BURKES GARDEN,TAZEWELL,VA,37.13,-81.44,TREES DOWN ON BURTON HOLLOW ROAD (RNK),,
45,UNK,5 WSW MOUNTAIN LAKE,GILES,VA,37.32,-80.64,2 TREES WERE REPORTED BLOWN DOWN OFF OF RIVER ROAD. (RNK),,
46,60,PETERSBURG,GRANT,WV,39,-79.12,(LWX),,
47,UNK,4 S IRON GATE,BOTETOURT,VA,37.74,-79.79,NUMEROUS LARGE TREES DOWN AND FENCING BLOWN DOWN. (RNK),,
48,UNK,KEYSER,MINERAL,WV,39.44,-78.98,TREES DOWN COUNTY WIDE (LWX),,
48,UNK,LONACONING,ALLEGANY,MD,39.57,-78.98,NUMEROUS TREES DOWN IN WESTERN ALLEGANY COUNTY. (LWX),,
49,60,2 SSW KEYSER,MINERAL,WV,39.42,-79,(LWX),,
49,UNK,LONACONING,ALLEGANY,MD,39.57,-78.98,SEVERAL TREES DOWN AND ONE TREE INTO A HOUSE. (LWX),,
49,UNK,MILLEDGEVILLE,CARROLL,IL,41.96,-89.78,SEVERAL TREES AND LIMBS DOWN. (DVN),,
50,UNK,CHRISTIANSBURG,MONTGOMERY,VA,37.14,-80.4,HUNDREDS OF REPORTS OF TREE AND POWER LINE DAMAGE ACROSS MONTGOMERY COUNTY WERE CALLED IN TO THE 911 CENTER FRIDAY NIGHT FROM THE EXTREME WINDSTORM THAT ENTERED THE COU (RNK),,
50,UNK,PINEY GROVE,GARRETT,MD,39.68,-79.07,NUMEROUS TREES DOWN COUNTY WIDE (PBZ),,
50,UNK,SOMERSET,SOMERSET,PA,40.01,-79.08,SCATTERED REPORTS OF WIRES DOWN ACROSS SOMERSET COUNTY. (CTP),,
50,UNK,3 E LEXINGTON CITY,ROCKBRIDGE,VA,37.78,-79.4,*** 2 INJ *** HUNDREDS OF REPORTS OF TREES AND POWER LINES DOWN. TWO OR THREE PEOPLE WERE INJURED AT AN OUTDOOR SHOW AT NATURAL BRIDGE. CARS WERE CRUSHED BY FALLING TRE (RNK),,
50,UNK,6 NNE BLACKSBURG,MONTGOMERY,VA,37.31,-80.37,AT LEAST A DOZEN LARGE TREES AND HUNDREDS OF MEDIUM TO LARGE SIZE LIMBS DOWN ALONG PEARMAN ROAD IN PRESTON FOREST...ESPECIALLY AT ELEVATIONS ABOVE 2200 FT. (RNK),,
51,UNK,4 S IRON GATE,BOTETOURT,VA,37.74,-79.79,SEVERAL LARGE LIMBS DOWN ON MCDANIEL DRIVE. (RNK),,
52,UNK,MOOREFIELD,HARDY,WV,39.06,-78.97,TREES DOWN COUNTY WIDE (LWX),,
52,UNK,TAZEWELL,TAZEWELL,VA,37.12,-81.52,NUMEROUS TREES AND POWERLINES DOWN ALONG HUBBLE HILL RD...MAPLEWOOD DRIVE...GRATTON ROAD...POUNDING MILL BRANCH...CHERRY HILLS DRIVE...FINCASTLE ROAD...HILL STREET...PO (RNK),,
52,UNK,1 NNE TIPTOP,TAZEWELL,VA,37.21,-81.43,SEVERAL TREES DOWN ALONG TIP TOP ROAD AND HURT ROAD. (RNK),,
52,UNK,1 SW MILL GAP,HIGHLAND,VA,38.31,-79.72,LARGE APPLE TREE DOWN (LWX),,
52,UNK,2 NNE BLACKSBURG,MONTGOMERY,VA,37.26,-80.4,A TREE WAS BLOWN DOWN ONTO A CAR. (RNK),,
53,UNK,3 NE BLACKSBURG,MONTGOMERY,VA,37.26,-80.37,SEVERAL TREES DOWN ON HIGH MEADOW DRIVE. ONE TREE FELL ON...AND DAMAGED...A VEHICLE. (RNK),,
54,UNK,1 SE FINCASTLE,BOTETOURT,VA,37.49,-79.86,TREES AND SEVERAL LARGE LIMBS BLOWN DOWN. (RNK),,
54,UNK,5 NNE BLACKSBURG,MONTGOMERY,VA,37.29,-80.37,SIX OR SEVEN TREES BLOWN DOWN BLOCKING MT. TABOR ROAD. (RNK),,
55,UNK,DUBLIN,PULASKI,VA,37.12,-80.7,ACROSS THE COUNTY THERE WERE HUNDREDS OF REPORTS OF TREES DOWN...AS WELL AS POWER LINES AND NUMEROUS POWER OUTAGES. THIS OCCURRED BETWEEN 855 PM AND 915 PM. IN DUBLIN.. (RNK),,
55,UNK,1 N TAZEWELL,TAZEWELL,VA,37.13,-81.52,NUMEROUS TREES AND POWERLINES DOWN IN NORTH TAZEWELL ALONG FAIRGROUND ROAD...EAST RIVERSIDE DRIVE...COCHRAN HOLLOW ROAD...EAST FINCASTLE STREET...HILL STREET...WHITLEY (RNK),,
55,UNK,1 SE BLACKSBURG,MONTGOMERY,VA,37.23,-80.41,TWO TREES BLOWN DOWN ON EAKIN STREET SOUTHEAST. (RNK),,
55,UNK,1 W FRANKLIN,PENDLETON,WV,38.64,-79.35,NUMEROUS TREES DOWN IN AND AROUND FRANKLIN. (LWX),,
55,UNK,1 WNW BLACKSBURG,MONTGOMERY,VA,37.24,-80.43,A LARGE TREE WAS BLOWN DOWN ONTO A HOUSE ON BROCE DRIVE. (RNK),,
55,UNK,2 WSW BLACKSBURG,MONTGOMERY,VA,37.22,-80.45,TREE DOWN ON CAMBRIDGE ROAD. (RNK),,
55,UNK,3 NNE BLACKSBURG,MONTGOMERY,VA,37.28,-80.4,SEVERAL TREES DOWN (RNK),,
56,UNK,3 W BLUEFIELD,TAZEWELL,VA,37.24,-81.32,TREES DOWN AND TREE DOWN ON CAR ALONG WRIGHTS VALLEY ROAD. (RNK),,
56,UNK,3 WSW RICHLANDS,TAZEWELL,VA,37.09,-81.85,TREES DOWN IN RAVEN. (RNK),,
56,UNK,4 SE ROANOKE,ROANOKE,VA,37.24,-79.91,HUNDREDS OF TREES WERE BLOWN DOWN ACROSS ROANOKE COUNTY AS WELL AS NUMEROUS POWER LINES DOWN. IN THE SOUTHEAST PORTION OF ROANOKE COUNTY AN UPROOTED TREE FLIPPED A MOBI (RNK),,
57,63,10 N LEXINGTON CITY,ROCKBRIDGE,VA,37.92,-79.45,(RNK),,
57,UNK,2 W PARROTT,PULASKI,VA,37.22,-80.67,TREES BLOWN DOWN. (RNK),,
57,UNK,5 NE LEXINGTON CITY,ROCKBRIDGE,VA,37.83,-79.39,TREE DOWN ON HOUSE ON VALLEY PIKE. (RNK),,
58,UNK,2 WNW RADFORD,PULASKI,VA,37.15,-80.6,REES WERE SNAPPED AND BLOWN DOWN AT THE DOGWOOD LODGE. (RNK),,
58,UNK,5 NNW SHAWSVILLE,MONTGOMERY,VA,37.24,-80.29,TREE DOWN ON REESEDALE ROAD (RNK),,
58,UNK,5 N SHAWSVILLE,MONTGOMERY,VA,37.24,-80.26,BARN BLOWN DOWN ON NORTH FORK ROAD (RNK),,
58,UNK,5 N SHAWSVILLE,MONTGOMERY,VA,37.24,-80.28,TREES DOWN ON FLAT WOODS ROAD (RNK),,
59,69,1 NNE HARRISONBURG,CITY OF HARRISONBU,VA,38.45,-78.87,(LWX),,
59,UNK,LEXINGTON CITY,CITY OF LEXINGTON,VA,37.78,-79.45,SEVERAL TREES DOWN...SOME BLOCKING STREETS. (RNK),,
100,66,3 WSW MOSCOW,AUGUSTA,VA,38.3,-79.13,(LWX),,
100,74,3 NNW DIXON,LEE,IL,41.89,-89.5,74 MPH WIND GUST WITH DIME SIZE HAIL AND WIND ROTATION. MULTIPLE TREES DOWN IN AREA. RAINFALL WAS 1.39 INCHES IN 20 MINUTES. DELAYED REPORT (LOT),,
100,76,6 ESE PILOT,FLOYD,VA,37.02,-80.27,(RNK),,
100,UNK,CATAWBA,ROANOKE,VA,37.38,-80.12,WINDS ESTIMATED OVER 50 MPH AND SIGNIFCANT TREE DAMAGE. (RNK),,
100,UNK,MC COY,MONTGOMERY,VA,37.23,-80.62,SEVERAL TREES DOWN...CAMPERS FLIPPED AT NEW RIVER JUNCTION AND A TREE DOWN ON A HOUSE. (RNK),,
100,UNK,PULASKI,PULASKI,VA,37.05,-80.8,LARGE LIMBS DOWN IN THE COMMUNITY OF NEW RIVER. (RNK),,
100,UNK,WESTON,LEWIS,WV,39.03,-80.51,STRUCTURAL DAMAGE. EVENT OCCURRED BETWEEN 830 PM 06/29/2012 AND 900 PM 06/29/2012 (RLX),,
100,UNK,1 NE CLAYTOR LAKE STATE,PULASKI,VA,37.06,-80.62,CAMPERS AT CLAYTOR LAKE STATE PARK REPORTED NUMEROUS TREES BLOWN DOWN ACROSS THE PARK. (RNK),,
100,UNK,1 S ROANOKE,CITY OF ROANOKE,VA,37.27,-79.96,THREE TREES DOWN ON 1600-1800 BLOCK OF PATTERSON AVE. IN ROANOKE. (RNK),,
100,UNK,2 NNE BLACKSBURG,MONTGOMERY,VA,37.26,-80.4,20 INCH DIAMETER TREE UPROOTED (RNK),,
100,UNK,2 WSW TROUTVILLE,BOTETOURT,VA,37.4,-79.92,SEVERAL TREES WERE BLOWN DOWN NEAR THE DALEVILLE HIGH SCHOOL. (RNK),,
100,UNK,3 NE BLACKSBURG,MONTGOMERY,VA,37.26,-80.38,SEVERAL TREES SNAPPED OFF 20-30 FEET ABOVE THE GROUND. (RNK),,
100,UNK,3 SSE DUBLIN,PULASKI,VA,37.08,-80.67,A LARGE TREE AND POWERLINES WERE BLOWN DOWN ALONG LYONS ROAD. (RNK),,
100,UNK,3 W SALEM CITY,CITY OF SALEM,VA,37.28,-80.11,TREE BLOWN ON HOUSE ON JACKSON DRIVE. (RNK),,
100,UNK,5 SE ROCKBRIDGE BATHS,ROCKBRIDGE,VA,37.84,-79.36,SEVERAL TREES AND LARGE TREE LIMBS WERE BLOWN DOWN NEAR THE INTERSECTION OF TIMBER RIDGE ROAD AND HWY 11. (RNK),,
100,UNK,5 SW BLACKSBURG,MONTGOMERY,VA,37.17,-80.47,SEVERAL TREES WERE BLOWN DOWN ALONG PEPPERS FERRY ROAD. (RNK),,
101,UNK,1 ENE CHRISTIANSBURG,MONTGOMERY,VA,37.14,-80.39,TREE DOWN AND SEVERAL LARGE LIMBS DOWN ON GOBBLERS SPUR. (RNK),,
101,UNK,4 NNE SHAWSVILLE,MONTGOMERY,VA,37.22,-80.23,TREES BLOWN DOWN NEAR ELLISTON NEAR BIG SPRING DRIVE. (RNK),,
102,74,2 N DIXON,LEE,IL,41.88,-89.48,ALSO 5 INCH DIAMETER TREE DOWN. (LOT),,
102,UNK,FROSTBURG,ALLEGANY,MD,39.66,-78.93,THREE INCH DIAMATER BRANCHES DOWN. (LWX),,
102,UNK,1 ESE MIDLOTHIAN,ALLEGANY,MD,39.63,-78.93,MULTIPLE TREES KNOCKED DOWN OR UPROOTED (LWX),,
102,UNK,5 ESE COLLIERSTOWN,ROCKBRIDGE,VA,37.75,-79.5,NUMEROUS TREES DOWNED ON COLLIERSTOWN ROAD. (RNK),,
104,UNK,1 SE BURKES GARDEN,TAZEWELL,VA,37.09,-81.34,TREES DOWN. (RNK),,
104,UNK,2 NW SALTVILLE,SMYTH,VA,36.89,-81.79,TREE DOWN ON POWER LINE AND NUMEROUS LARGE BRANCHES DOWN ALONG POOR VALLEY ROAD. (RNK),,
104,UNK,5 W SALTVILLE,WASHINGTON,VA,36.87,-81.85,TREE DOWN ON POWER LINE AND NUMEROUS LARGE BRANCHES DOWN ALONG POOR VALLEY ROAD. (RNK),,
105,60,2 SSW KEYSER,MINERAL,WV,39.42,-79,LARGE TREE DOWN (LWX),,
105,65,1 SSW ROANOKE,CITY OF ROANOKE,VA,37.26,-79.97,THE WIND GUST WAS MEASURED ON HOME WEATHER EQUIPMENT. (RNK),,
105,UNK,CHRISTIANSBURG,MONTGOMERY,VA,37.14,-80.4,TWO TREES DOWN..WINDS ESTIMATED UP TO 60 MPH ALONG GEORGE EDWARD VIA ROAD. (RNK),,
105,UNK,CHURCHVILLE,AUGUSTA,VA,38.23,-79.16,TREES DOWN (LWX),,
105,UNK,DIXON,LEE,IL,41.85,-89.48,SEVERAL LARGE TREES AND POWER LINES DOWN ON LOWELL PARK ROAD JUST NORTH OF DIXON. RELAYED BY BROADCAST MEDIA. TIME ESTIMATED. (LOT),,
105,UNK,1 SE LA VALE,ALLEGANY,MD,39.66,-78.81,NUMEROUS TREES DOWN. (LWX),,
105,UNK,1 SW GRAYSONTOWN,PULASKI,VA,37.04,-80.58,TREE DOWN ON CHERRY BRANCH ROAD (RNK),,
105,UNK,2 S BEDFORD CITY,BEDFORD,VA,37.31,-79.52,IN BEDFORD COUNTY...HUNDREDS OF TREES WERE BLOWN DOWN. POWER LINES WERE ALSO KNOCKED DOWN. SOME TREES WERE BLOWN DOWN ON HOMES. THE STRONGEST WINDS EXITED THE COUNTY AR (RNK),,
105,UNK,3 NNE SHAWSVILLE,MONTGOMERY,VA,37.21,-80.25,LARGE TREES DOWN ON ECHO HILLS ROAD. (RNK),,
105,UNK,4 NW ROANOKE,ROANOKE,VA,37.33,-80.01,SEVERAL TREES WERE BLOWN DOWN ALONG NORTH LAKE DRIVE. (RNK),,
105,UNK,5 NW ROANOKE,CITY OF SALEM,VA,37.32,-80.03,A COUPLE TREES WERE BLOWN DOWN NEAR THE INTERSECTION OF ELECTRIC ROAD AND INTERSTATE 81. (RNK),,
107,UNK,MOUNT SOLON,AUGUSTA,VA,38.34,-79.09,TREES DOWN (LWX),,
107,UNK,RICHLANDS,TAZEWELL,VA,37.1,-81.8,SOME DAMAGE TO ROOFS..SEVERAL TREES DOWN. (RNK),,
107,UNK,1 NW RIDGELEY,ALLEGANY,MD,39.65,-78.78,NUMEROUS TREES UPROOTED. DAMAGE EXTENDS INTO CUMBERLAND...WHERE DOWNTOWN WINDOWS WERE BLOWN OUT...AND SEVERAL ROOFS WERE TORN OFF. (LWX),,
107,UNK,1 SE CUMBERLAND,ALLEGANY,MD,39.64,-78.76,TREE DOWN OVER CAR ON HILLTOP STREET. (LWX),,
108,81,3 NNW ROANOKE,CITY OF ROANOKE,VA,37.33,-79.97,WIND GUST MEASURED AT THE ROANOKE REGIONAL AIRPORT (RNK),,
108,UNK,WYTHEVILLE,WYTHE,VA,36.95,-81.08,TREES DOWN ON CRESTVIEW DRIVE. (RNK),,
109,UNK,1 S FORT ASHBY,MINERAL,WV,39.48,-78.77,COUPLE OF TREES ABOUT 10 INCHES IN DIAMETER WERE SNAPPED OFF (LWX),,
109,UNK,1 SW FORT ASHBY,MINERAL,WV,39.49,-78.77,SEVERAL TREE BRANCHES ABOUT 3 INCHES IN DIAMETER KNOCKED DOWN. (LWX),,
109,UNK,2 SW PLEASANT VALLEY,ALLEGANY,MD,39.69,-78.67,TREES DOWN NEAR ROCKY GAP (LWX),,
110,UNK,BLACKSBURG,MONTGOMERY,VA,37.23,-80.42,LARGE LIMBS DOWN IN THE NORTH SIDE OF TOWN. (RNK),,
110,UNK,MONTEZUMA,ROCKINGHAM,VA,38.41,-78.99,NUMEROUS TREES DOWN. (LWX),,
110,UNK,STAUNTON,CITY OF STAUNTON,VA,38.16,-79.06,TREES POWER LINES DOWN THROUGHOUT THE CITY (LWX),,
110,UNK,4 E ROANOKE,ROANOKE,VA,37.29,-79.88,THREE 1-2 FT DIAMETER TREES SNAPPED 2-3 FEET ABOVE THE GROUND. (RNK),,
114,UNK,1 SSW PUMPKIN CENTER,ALLEGANY,MD,39.61,-78.57,LARGE TREES DOWN (LWX),,
114,UNK,2 SW FLINTSTONE,ALLEGANY,MD,39.68,-78.59,TREES DOWN (LWX),,
115,UNK,BEDFORD CITY,CITY OF BEDFORD,VA,37.34,-79.52,TREES DOWN ON CARROLL ROAD. (RNK),,
115,UNK,BOONES MILL,FRANKLIN,VA,37.12,-79.95,*** 1 FATAL *** TREE FELL ON VFD FIREFIGHTER IN LINE OF DUTY RESPONDING TO A CALL AND CRUSHED HIM IN HIS VEHICLE...AGE 54. CRITICALLY INJ...PASSED AWAY JULY 2. (RNK),,
115,UNK,BOONES MILL,FRANKLIN,VA,37.12,-79.95,*** 1 INJ *** A FRANKLIN COUNTY FIREFIGHTER WAS CRITICALLY INJURED WHEN A TREE STRUCK HIM NEAR ROUTE 220. (RNK),,
115,UNK,BOONES MILL,FRANKLIN,VA,37.12,-79.95,APPOX 200 REPORTS OF DOWNED TREES AND POWERLINES COUNTYWIDE BETWEEN 915 PM AND 1000 PM. 1 MOBILE HOME WITH HEAVY DAMAGE...TREE CUT HOME IN HALF. SEVERAL OTHER HOMES WIT (RNK),,
115,UNK,DUBLIN,PULASKI,VA,37.12,-80.7,MULTIPLE TREES DOWN ON VERMILLION ST. (RNK),,
115,UNK,FRANKLIN GROVE,LEE,IL,41.84,-89.3,POWER LINES DOWN IN TOWN. RELAYED BY BROADCAST MEDIA. TIME ESTIMATED. (LOT),,
115,UNK,ROANOKE,CITY OF ROANOKE,VA,37.28,-79.96,TREE DOWN ON KANE STREET. (RNK),,
115,UNK,1 SSE RIDGELEY,ALLEGANY,MD,39.63,-78.76,ROOF BLOWN OFF HOUSE ALONG YORK PLACE. (LWX),,
115,UNK,3 NE RADFORD,MONTGOMERY,VA,37.16,-80.52,A LARGE TREE AND POWERLINES WERE BLOWN DOWN ALONG WISTERIA DRIVE. (RNK),,
115,UNK,4 NNW BLACKSBURG,MONTGOMERY,VA,37.28,-80.44,3 TRAILERS DESTROYED ON PANDAPAS POND ROAD. (RNK),,
116,UNK,WAYNESBORO,CITY OF WAYNESBORO,VA,38.07,-78.9,*** 1 INJ *** FALLEN TREES DAMAGED 10 APARTMENTS IN 800 BLOCK OF LYNDHURST ROAD IN WAYNESBORO (LWX),,
116,UNK,WAYNESBORO,CITY OF WAYNESBORO,VA,38.07,-78.9,FALLEN TREES DAMAGED 10 APARTMENTS IN 800 BLOCK OF LYNDHURST ROAD IN WAYNESBORO (LWX),,
118,UNK,BEDFORD CITY,CITY OF BEDFORD,VA,37.34,-79.52,TREES AND POWER LINES DOWN ON RT 24 AND BEAGLE CLUB ROAD. (RNK),,
118,UNK,STAUNTON,CITY OF STAUNTON,VA,38.16,-79.06,TREES POWER LINES DOWN THROUGHOUT THE CITY (LWX),,
118,UNK,1 SSE GROTTOES,ROCKINGHAM,VA,38.25,-78.81,MANY LARGE TREES DOWN. (LWX),,
120,87,4 NW WINTERGREEN,NELSON,VA,37.92,-78.95,(LWX),,
120,UNK,EDINBURG,SHENANDOAH,VA,38.8,-78.59,LARGE TREE SPLIT. ANOTHER TREE UPROOTED (LWX),,
